dataset,id,n,plugin,cs,cs-hybrid,NumSets,gt,ueigv,hybrid-alphabet,snne,kle,predictive,surprise,oracle,best-guess,judge-llm-score
hotpot_qa_final,1874,5,-0.0,,0.2623619340520029,,,,,,,,,0.3516277945949397,,
hotpot_qa_final,1874,10,-0.0,,0.26619020267636756,,,,,,,0.08719612711526577,,0.3516277945949397,,
hotpot_qa_final,1874,25,-0.0,,0.3393130632655111,,,,,,,,,0.3516277945949397,,
hotpot_qa_final,1874,50,-0.0,,0.3384346744454433,,,,,,,,,0.3516277945949397,,
hotpot_qa_final,1874,75,-0.0,,0.3420269366821762,,,,,,,,,0.3516277945949397,,
hotpot_qa_final,1874,100,0.34651533691866615,,0.34651744677823987,,,,,,,,,0.3516277945949397,,
hotpot_qa_final,1875,5,-0.0,,0.31994953638860013,,,,,,,,,0.5931443165756229,,
hotpot_qa_final,1875,10,-0.0,,0.31372678328465714,,,,,,,0.11093296538673887,,0.5931443165756229,,
hotpot_qa_final,1875,25,-0.0,,0.3297247459491809,,,,,,,,,0.5931443165756229,,
hotpot_qa_final,1875,50,0.22696752250060448,,0.28108748691479174,,,,,,,,,0.5931443165756229,,
hotpot_qa_final,1875,75,0.416883242392296,,0.47101374733947454,,,,,,,,,0.5931443165756229,,
hotpot_qa_final,1875,100,0.6298917513451143,,0.6300233478501878,,,,,,,,,0.5931443165756229,,
hotpot_qa_final,1876,5,0.5004024235381879,,0.7913473065443453,,,,,,,,,0.44836116734345133,,
hotpot_qa_final,1876,10,0.3250829733914482,,0.5256149754034921,,,,,,,0.14948677021640427,,0.44836116734345133,,
hotpot_qa_final,1876,25,0.2787693717685874,,0.3074671908978172,,,,,,,,,0.44836116734345133,,
hotpot_qa_final,1876,50,0.3250829733914482,,0.3262758216597814,,,,,,,,,0.44836116734345133,,
hotpot_qa_final,1876,75,0.3669249912727096,,0.3669424415079926,,,,,,,,,0.44836116734345133,,
hotpot_qa_final,1876,100,0.439669879401343,,0.43966988725572265,,,,,,,,,0.44836116734345133,,
hotpot_qa_final,1877,5,-0.0,,0.3491982692230482,,,,,,,,,1.532224151434999,,
hotpot_qa_final,1877,10,0.5004024235381879,,0.627796161135715,,,,,,,0.24723644310884438,,1.532224151434999,,
hotpot_qa_final,1877,25,0.6859298002523728,,0.7300538455786801,,,,,,,,,1.532224151434999,,
hotpot_qa_final,1877,50,1.4211499577819653,,1.430406190185084,,,,,,,,,1.532224151434999,,
hotpot_qa_final,1877,75,1.5218961663492294,,1.5229242962135783,,,,,,,,,1.532224151434999,,
hotpot_qa_final,1877,100,1.5309146476110924,,1.531046006922384,,,,,,,,,1.532224151434999,,
hotpot_qa_final,1878,5,1.3321790402101223,,2.2820500089392226,,,,,,,,,2.5292081251349225,,
hotpot_qa_final,1878,10,1.6957425341696346,,2.1511960470212195,,,,,,,0.30672478624771454,,2.5292081251349225,,
hotpot_qa_final,1878,25,2.0261206329699606,,2.219866619700042,,,,,,,,,2.5292081251349225,,
