id,oracle,num_nodes,num_edges,num_components,avg_degree,avg_clustering,ans_char_len_mean,ans_char_len_std,ans_word_len_mean,ans_word_len_std
1870,1.9768219553904869,100,703,9,14.06,0.578105502827826,225.99,76.70234611796434,37.74,12.564728409321072
1871,0.0,100,3008,5,60.16,0.9379148704350446,95.52,16.212637046452375,15.13,3.015476745060389
1872,2.2665378875289544,100,841,9,16.82,0.5211558445981808,260.39,71.80541692658012,43.06,12.786571080629866
1873,0.0,100,4375,2,87.5,0.9465366597755421,113.98,17.745974191348303,19.55,2.937260628544903
1874,0.3516277945949397,100,2018,3,40.36,0.8851020843309706,144.57,78.98965185389793,23.3,11.266321493726336
1875,0.5931443165756229,100,1869,3,37.38,0.8885609566043514,150.2,43.62911871674696,24.46,6.960488488604806
1876,0.4483611673434513,100,2111,6,42.22,0.9162936986454615,126.02,28.29062742322977,20.4,4.884669896727925
1877,1.532224151434999,100,1285,2,25.7,0.6838364241788614,242.65,70.71964012917488,35.71,10.498852318229838
1878,2.5292081251349225,100,428,15,8.56,0.4796320000198921,274.28,74.24851244301126,43.73,11.685764844459262
1879,2.3163900776460307,100,331,13,6.62,0.7082038517038517,289.31,98.07218718882537,47.07,15.644331241699023
1880,1.391129577054877,100,578,23,11.56,0.602621197732933,241.91,105.44914366650875,39.2,17.365483005087995
1881,0.971140532219256,100,1542,5,30.84,0.9034442903434272,141.27,52.25377594011748,21.9,8.476437931112336
1882,1.7209753434078772,100,924,9,18.48,0.5592441102964149,288.7,75.53045743274696,46.61,12.087096425527514
1883,1.2462490344076638,100,1691,16,33.82,0.7394076032686866,226.43,86.59598778234475,41.29,15.36248352318075
1884,0.0,100,3750,4,75.0,0.930763454005199,116.78,74.20007816707474,18.78,12.585372461711255
1885,1.595068019416915,100,584,9,11.68,0.5228298190743811,295.79,100.20960981861968,49.89,17.209819871224685
1886,1.7153969193037917,100,831,4,16.62,0.5016808982818831,311.36,74.85352630304067,50.3,12.664517361510464
1887,1.4921416024608594,100,984,6,19.68,0.6779041346331467,191.86,63.770842867254,29.36,9.761680183247146
1888,2.127978439784517,100,233,24,4.66,0.36814368964368965,326.47,77.86609724392252,55.6,13.535139452550906
1889,0.7305050701300696,100,1801,12,36.02,0.8486535607816704,173.38,56.123930724780855,29.55,10.025342886904168
1890,0.3099017460520568,100,4043,5,80.86,0.8787319640634261,101.05,34.414640779761164,14.41,5.4554468194640116
1891,0.8994716418605407,100,2557,1,51.14,0.8654849437324512,115.94,135.699212967504,18.69,21.089663344871106
1892,1.3443060245222342,100,2981,3,59.62,0.7728440009176809,290.87,53.68531549688425,48.74,9.019556530118319
1893,0.5267089734524637,100,3133,7,62.66,0.9364369788862025,108.7,61.98669212016399,15.83,9.375558650021874
1894,0.714183467041596,100,1104,8,22.08,0.7996116440044487,167.53,46.26347479383709,27.35,7.922594272080326
1895,2.378473632829848,100,504,18,10.08,0.5521079428051268,278.21,112.35046016817199,46.31,18.613809389805194
1896,0.0,100,4093,8,81.86,0.9389388264669164,191.55,29.52198333445773,29.85,5.2141634036535525
1897,2.919486693998875,100,203,39,4.06,0.25596936860868746,347.5,115.87186888973527,52.59,18.599513434496075
1898,2.193925525007677,100,666,6,13.32,0.5059200187627692,309.92,96.24891479907708,55.29,16.66631032952405
1899,1.1129557245781243,100,2190,5,43.8,0.7452952430120837,220.85,83.84680971867684,37.37,14.441367663763709
1900,1.8552503256203936,100,1943,4,38.86,0.7987107912650433,236.66,70.74619707093802,34.87,11.328420013399928
1901,2.758994026132841,100,750,2,15.0,0.7784315484086748,109.72,11.734632503832405,18.98,2.1493254755853055
1902,2.286861615340963,100,245,15,4.9,0.32757007861419624,300.85,99.82408276563328,51.28,16.923994800282824
1903,0.6052834686131802,100,1941,2,38.82,0.81676920781165,183.31,50.236579302337056,31.33,7.927237854385347
1904,1.410664296069781,100,1018,7,20.36,0.8801290531825318,140.69,64.54621522599136,24.22,11.09917114022484
1905,0.8457382719874903,100,738,15,14.76,0.6223523190124234,219.08,128.1246018530399,32.02,19.893204870005235
1906,1.3658821988464789,100,1623,5,32.46,0.8682972799915121,238.33,63.53047379014263,40.79,10.671733692329472
1907,0.0,100,4086,1,81.72,0.9715027829313544,108.7,13.996785345214095,17.9,2.5980762113533156
