id,oracle,n,num_clusters,entropy_cluster,entropy_cluster_norm,max_cluster_share,dispersion_1_minus_max
1877,1.532224151434999,100,5,1.5309146476060924,0.9512107523866826,0.29,0.71
1878,2.5292081251349225,100,16,2.549278079927152,0.9194577109394603,0.15,0.85
1879,2.3163900776460307,100,12,2.3321401837284816,0.9385222515008553,0.2,0.8
1880,1.391129577054877,100,9,1.446046710731188,0.6581242198211192,0.47,0.53
1881,0.971140532219256,100,3,0.982452082744858,0.8942664239956051,0.49,0.51
1882,1.7209753434078772,100,7,1.718341779502755,0.8830529921111534,0.39,0.61
1883,1.2462490344076638,100,6,1.2839010938675701,0.7165588439282613,0.5,0.5
1884,0.0,100,1,-1.000088900581841e-12,0.0,1.0,0.0
1885,1.595068019416915,100,6,1.6029390271348138,0.8946173047576577,0.32,0.6799999999999999
1886,1.7153969193037917,100,7,1.7145070576574155,0.8810823349113844,0.28,0.72
1887,1.4921416024608594,100,5,1.4888555065036024,0.9250779387021336,0.37,0.63
1888,2.127978439784517,100,11,2.126071187100716,0.8866405514947977,0.25,0.75
1889,0.7305050701300696,100,3,0.7830103699298679,0.7127267535657568,0.66,0.33999999999999997
1890,0.3099017460520568,100,2,0.32508297338944825,0.46899559358639586,0.9,0.09999999999999998
1891,0.8994716418605407,100,3,0.9142025851580708,0.8321430540945378,0.63,0.37
1892,1.3443060245222342,100,5,1.3461554077869091,0.8364133822043468,0.43,0.5700000000000001
1893,0.5267089734524637,100,2,0.5510799280849727,0.7950402793816368,0.76,0.24
1894,0.714183467041596,100,3,0.746032664711785,0.6790681957656138,0.7,0.30000000000000004
1895,2.378473632829848,100,17,2.4218693127077398,0.854813605120337,0.28,0.72
1896,0.0,100,1,-1.000088900581841e-12,0.0,1.0,0.0
1897,2.919486693998875,100,27,2.947183626286586,0.89421404823946,0.2,0.8
1898,2.193925525007677,100,11,2.206456002083325,0.9201636231211907,0.16,0.84
1899,1.1129557245781243,100,7,1.1822524806653754,0.6075575900764622,0.64,0.36
1900,1.8552503256203936,100,7,1.8619258426548484,0.9568406041557279,0.26,0.74
1901,2.758994026132841,100,24,2.780650396543505,0.8749538380975342,0.21,0.79
1902,2.286861615340963,100,12,2.304154098475924,0.927259822284472,0.17,0.83
1903,0.6052834686131802,100,2,0.6191006644235872,0.8931734583749716,0.69,0.31000000000000005
1904,1.410664296069781,100,5,1.4066198527919282,0.8739820541847236,0.38,0.62
1905,0.8457382719874903,100,3,0.8743504350413263,0.7958680637928556,0.57,0.43000000000000005
1906,1.3658821988464789,100,4,1.367427940033475,0.9863907539296527,0.33,0.6699999999999999
1907,0.0,100,1,-1.000088900581841e-12,0.0,1.0,0.0
1908,0.0,100,1,-1.000088900581841e-12,0.0,1.0,0.0
1909,2.429602066089722,100,15,2.467362180114997,0.9111212853848685,0.15,0.85
1910,0.0,100,1,-1.000088900581841e-12,0.0,1.0,0.0
1911,1.2078341493310525,100,4,1.213750870667917,0.8755361809936327,0.4,0.6
1912,1.1765756145121395,100,4,1.1708266497663333,0.8445729006792642,0.45,0.55
1913,1.66986292747107,100,8,1.6947815493439142,0.8150176455428597,0.32,0.6799999999999999
1914,0.0,100,1,-1.000088900581841e-12,0.0,1.0,0.0
1915,3.37854122678746,100,40,3.3906818638948093,0.9191630971062041,0.09,0.91
1916,0.3810488224064213,100,2,0.4049634850619386,0.5842388116399706,0.86,0.14
1917,2.727078965827841,100,19,2.73715900407388,0.929602896660728,0.14,0.86
1918,0.5122768096035597,100,3,0.5486372905991197,0.4993911830935861,0.83,0.17000000000000004
1919,0.8687506655622093,100,3,0.8785258722239531,0.7996687105047987,0.47,0.53
1920,0.6484226292798767,100,2,0.6534181947917017,0.9426831892526067,0.64,0.36
1921,1.2628509718523155,100,6,1.262632454533921,0.7046885903038659,0.56,0.43999999999999995
1922,0.6669586925723109,100,3,0.7098551052418884,0.6461379620124887,0.76,0.24
1923,0.2232513259389678,100,2,0.25363894691969135,0.36592365089733775,0.93,0.06999999999999995
1924,2.331856744383612,100,13,2.334219445236612,0.91004504180415,0.21,0.79
1925,0.7513729984510853,100,3,0.7612300161578045,0.6929014211926149,0.73,0.27
